Step,Fox,Rabbit,Grass,Flower
287,51,176,5928,512
288,52,166,5928,497
289,51,188,5916,489
290,51,184,5930,491
291,50,182,5895,486
292,50,169,5873,482
293,49,174,5889,468
294,51,162,5902,464
295,53,164,5905,467
296,53,161,5880,462
297,55,158,5895,455
298,52,159,5857,447
299,52,154,5836,427
300,52,171,5833,430
301,51,150,5848,417
302,52,142,5834,409
303,54,163,5807,395
304,55,163,5817,387
305,56,183,5856,379
306,59,181,5872,370
307,64,176,5867,361
308,64,170,5849,350
309,64,179,5853,352
310,64,179,5836,340
311,62,177,5779,336
312,66,203,5805,341
313,65,191,5796,346
314,70,197,5791,332
315,72,191,5817,334
316,73,174,5782,339
317,75,171,5773,348
318,80,187,5791,350
319,81,190,5777,353
320,79,184,5738,348
321,80,181,5734,339
322,83,185,5696,320
323,82,193,5727,317
324,85,242,5713,305
325,84,230,5697,306
326,81,235,5691,306
327,79,247,5674,298
328,77,250,5650,286
329,84,242,5639,277
330,81,255,5627,279
331,79,263,5570,274
332,81,271,5525,263
333,78,314,5515,250
334,80,303,5505,242
335,77,291,5480,245
336,75,270,5449,242
337,69,303,5390,234
338,74,289,5332,232
339,73,273,5251,236
340,74,300,5238,230
341,67,314,5204,228
342,65,328,5167,234
343,65,296,5130,238
344,64,313,5081,237
345,60,309,5037,232
346,58,324,4977,224
347,56,320,4935,215
348,50,295,4869,210
349,54,317,4827,200
350,54,325,4820,192
351,55,334,4767,181
352,52,332,4702,175
353,45,353,4655,173
354,46,353,4585,170
355,46,358,4511,171
356,46,344,4471,159
357,42,341,4406,156
358,47,343,4370,156
359,43,347,4358,154
360,41,342,4303,149
361,42,350,4296,146
362,40,354,4289,142
363,39,327,4241,131
364,44,374,4211,132
365,49,388,4175,127
366,47,385,4093,120
367,49,431,4049,114
368,47,419,3989,112
369,45,444,3940,111
370,42,475,3891,104
371,41,461,3865,95
372,42,482,3806,100
373,43,466,3746,93
374,42,519,3660,88
375,40,511,3596,85
376,40,479,3514,81
377,41,451,3443,73
378,40,481,3366,72
379,39,485,3306,71
380,38,426,3227,66
381,38,441,3184,65
382,40,435,3127,64
383,36,409,3076,64
384,37,400,3029,63
385,38,384,2961,62
386,42,385,2908,54
387,43,394,2844,53
388,43,381,2780,50
389,43,426,2719,47
390,42,414,2683,43
391,40,411,2633,41
392,39,388,2573,36
393,41,354,2528,29
394,42,372,2471,25
395,41,377,2433,23
396,37,367,2372,23
397,41,376,2342,25
398,41,339,2329,24
399,44,322,2327,23
400,47,268,2306,23
401,46,213,2318,22
402,46,196,2334,21
403,45,180,2319,20
404,44,201,2304,16
405,46,170,2292,15
406,56,172,2286,11
407,56,192,2264,9
408,57,208,2247,8
409,59,195,2232,6
410,63,179,2200,6
411,67,175,2177,4
412,66,178,2162,4
413,65,152,2130,4
414,62,116,2127,4
415,64,123,2122,2
416,62,140,2105,2
417,60,140,2097,2
418,60,129,2099,0
419,59,110,2103,0
420,62,115,2088,0
421,64,122,2095,0
422,65,115,2078,0
423,67,98,2095,0
424,65,98,2081,0
425,60,108,2065,0
426,61,108,2078,0
427,64,92,2092,0
428,59,92,2092,0
429,61,94,2115,0
430,60,76,2103,0
431,60,78,2093,0
432,62,80,2080,0
433,60,76,2102,0
434,58,78,2104,0
435,56,81,2101,0
436,54,84,2111,0
437,53,76,2145,0
438,51,75,2151,0
439,47,62,2153,0
440,44,65,2150,0
441,44,65,2153,0
442,42,80,2172,0
443,40,72,2176,0
444,38,66,2162,0
445,38,69,2179,0
446,35,81,2192,0
447,37,68,2194,0
448,30,71,2219,0
449,28,69,2232,0
450,25,69,2227,0
451,23,55,2237,0
452,28,60,2227,0
453,28,42,2209,0
454,29,23,2224,0
455,29,27,2235,0
456,30,24,2241,0
457,32,22,2264,0
458,35,30,2298,0
459,38,25,2298,0
460,35,21,2294,0
461,35,20,2312,0
462,35,18,2325,0
463,36,15,2342,0
464,33,18,2360,0
465,35,13,2376,0
466,34,16,2392,0
467,32,19,2399,0
468,33,19,2423,0
469,34,20,2431,0
470,32,24,2420,0
471,29,20,2438,0
